agency_name,_type,id,name,description,classification,start_time,end_time,timezone,status,all_day,location_name,location_url,location_address,source_url,source_note,scraped_time
Animal Care and Control Commission,event,chi_animal/201803150830/x/commission_meeting,Commission meeting,N/A,Not classified,2018-03-15 08:30,,America/Chicago,tentative,0,David R. Lee Animal Care Center,N/A,"2741 S. Western Ave, Chicago, IL 60608",https://www.cityofchicago.org/city/en/depts/cacc/supp_info/public_notice.html,N/A,2018-03-12 19:48
Animal Care and Control Commission,event,chi_animal/201805171830/x/commission_meeting,Commission meeting,N/A,Not classified,2018-05-17 18:30,,America/Chicago,tentative,0,David R. Lee Animal Care Center,N/A,"2741 S. Western Ave, Chicago, IL 60608",https://www.cityofchicago.org/city/en/depts/cacc/supp_info/public_notice.html,N/A,2018-03-12 19:48
Animal Care and Control Commission,event,chi_animal/201807190830/x/commission_meeting,Commission meeting,N/A,Not classified,2018-07-19 08:30,,America/Chicago,tentative,0,David R. Lee Animal Care Center,N/A,"2741 S. Western Ave, Chicago, IL 60608",https://www.cityofchicago.org/city/en/depts/cacc/supp_info/public_notice.html,N/A,2018-03-12 19:48
Animal Care and Control Commission,event,chi_animal/201809200830/x/commission_meeting,Commission meeting,N/A,Not classified,2018-09-20 08:30,,America/Chicago,tentative,0,David R. Lee Animal Care Center,N/A,"2741 S. Western Ave, Chicago, IL 60608",https://www.cityofchicago.org/city/en/depts/cacc/supp_info/public_notice.html,N/A,2018-03-12 19:48
Animal Care and Control Commission,event,chi_animal/201811150830/x/commission_meeting,Commission meeting,N/A,Not classified,2018-11-15 08:30,,America/Chicago,tentative,0,David R. Lee Animal Care Center,N/A,"2741 S. Western Ave, Chicago, IL 60608",https://www.cityofchicago.org/city/en/depts/cacc/supp_info/public_notice.html,N/A,2018-03-12 19:48
