agency_name,_type,id,name,description,classification,start_time,end_time,timezone,status,all_day,location_name,location_url,location_address,source_url,source_note,scraped_time
City College of Chicago,event,chi_city_college/201804050900/x/april_2018_regular_board_meeting,April 2018 Regular Board Meeting,"​ 
",Not classified,2018-04-05 09:00,,America/Chicago,tentative,0,N/A,N/A,226 West Jackson Boulevard,http://www.ccc.edu/events/Pages/April-2018-Regular-Board-Meeting.aspx,N/A,2018-03-12 19:48
City College of Chicago,event,chi_city_college/201805030900/x/may_2018_regular_board_meeting,May 2018 Regular Board Meeting,"​ 
",Not classified,2018-05-03 09:00,,America/Chicago,tentative,0,N/A,N/A,226 West Jackson Boulevard,http://www.ccc.edu/events/Pages/May-2018-Regular-Board-Meeting.aspx,N/A,2018-03-12 19:48
City College of Chicago,event,chi_city_college/201806070900/x/june_2018_regular_board_meeting,June 2018 Regular Board Meeting,"​ 
",Not classified,2018-06-07 09:00,,America/Chicago,tentative,0,N/A,N/A,226 West Jackson Boulevard,http://www.ccc.edu/events/Pages/June-2018-Regular-Board-Meeting.aspx,N/A,2018-03-12 19:48
